BRAS,REPETITION,NUMERO_VIGNETTE
Outil,1,9
Outil,1,23
Outil,1,12
Outil,1,24
Outil,1,25
Outil,1,2
Outil,1,13
Outil,1,21
Outil,1,27
Outil,1,10
Outil,1,20
Outil,1,30
Outil,1,22
Outil,1,29
Outil,1,26
Outil,1,14
Outil,1,4
Outil,1,1
Outil,1,15
Outil,1,11
Outil,1,19
Outil,1,7
Outil,1,6
Outil,1,17
Outil,1,28
Outil,1,8
Outil,1,3
Outil,1,16
Outil,1,18
Outil,1,5
Outil,2,29
Outil,2,27
Outil,2,20
Outil,2,22
Outil,2,1
Outil,2,12
Outil,2,19
Outil,2,5
Outil,2,7
Outil,2,23
Outil,2,3
Outil,2,8
Outil,2,24
Outil,2,30
Outil,2,28
Outil,2,16
Outil,2,4
Outil,2,17
Outil,2,14
Outil,2,10
Outil,2,26
Outil,2,25
Outil,2,13
Outil,2,11
Outil,2,9
Outil,2,2
Outil,2,18
Outil,2,15
Outil,2,21
Outil,2,6
Outil,3,20
Outil,3,3
Outil,3,11
Outil,3,8
Outil,3,22
Outil,3,12
Outil,3,30
Outil,3,19
Outil,3,18
Outil,3,10
Outil,3,16
Outil,3,25
Outil,3,13
Outil,3,1
Outil,3,27
Outil,3,4
Outil,3,6
Outil,3,24
Outil,3,5
Outil,3,2
Outil,3,29
Outil,3,7
Outil,3,15
Outil,3,14
Outil,3,17
Outil,3,21
Outil,3,26
Outil,3,23
Outil,3,28
Outil,3,9
Outil,4,4
Outil,4,19
Outil,4,10
Outil,4,18
Outil,4,9
Outil,4,5
Outil,4,29
Outil,4,3
Outil,4,11
Outil,4,22
Outil,4,12
Outil,4,7
Outil,4,26
Outil,4,17
Outil,4,8
Outil,4,14
Outil,4,13
Outil,4,16
Outil,4,25
Outil,4,2
Outil,4,28
Outil,4,23
Outil,4,1
Outil,4,24
Outil,4,20
Outil,4,15
Outil,4,27
Outil,4,30
Outil,4,21
Outil,4,6
Outil,5,20
Outil,5,10
Outil,5,9
Outil,5,6
Outil,5,29
Outil,5,25
Outil,5,4
Outil,5,3
Outil,5,24
Outil,5,15
Outil,5,13
Outil,5,17
Outil,5,30
Outil,5,18
Outil,5,28
Outil,5,26
Outil,5,12
Outil,5,11
Outil,5,14
Outil,5,5
Outil,5,22
Outil,5,21
Outil,5,1
Outil,5,2
Outil,5,27
Outil,5,7
Outil,5,8
Outil,5,16
Outil,5,23
Outil,5,19
Outil,6,26
Outil,6,15
Outil,6,11
Outil,6,7
Outil,6,3
Outil,6,10
Outil,6,14
Outil,6,5
Outil,6,25
Outil,6,23
Outil,6,28
Outil,6,27
Outil,6,12
Outil,6,19
Outil,6,6
Outil,6,9
Outil,6,20
Outil,6,30
Outil,6,21
Outil,6,13
Outil,6,17
Outil,6,2
Outil,6,22
Outil,6,16
Outil,6,18
Outil,6,4
Outil,6,29
Outil,6,8
Outil,6,24
Outil,6,1
Outil,7,26
Outil,7,10
Outil,7,20
Outil,7,8
Outil,7,16
Outil,7,13
Outil,7,7
Outil,7,25
Outil,7,21
Outil,7,19
Outil,7,6
Outil,7,24
Outil,7,18
Outil,7,11
Outil,7,15
